days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
123	25-May	8032471	7999419	33052	0	568	0	8248	0	210	0	357	0	488	0	210	0	847	0	1034		
124	26-May	8033510	8001618	31876	0	568	0	8248	13	223	0	357	0	488	0	210	0	847	3	1037		
125	27-May	8034092	8002861	31226	0	568	0	8248	3	226	0	357	0	488	0	210	1	848	1	1038		
126	28-May	8035127	8003996	31128	0	568	0	8248	0	226	2	359	0	488	0	210	0	848	1	1039		
127	29-May	8036383	8005478	30860	13	581	16	8264	0	226	3	362	0	488	13	223	0	848	0	1039		
128	30-May	8037531	8007036	30465	3	584	17	8281	2	228	4	366	0	488	3	226	0	848	1	1040		
129	31-May	8039651	8009005	30629	2	586	12	8293	0	228	0	366	0	488	0	226	2	850	1	1041		
130	1-Jun	8041036	8010496	30510	3	589	18	8311	4	232	1	367	1	489	0	226	3	853	0	1041		
131	2-Jun	8042214	8011174	31007	6	595	17	8328	3	235	0	367	0	489	2	228	4	857	1	1042		
132	3-Jun	8043302	8011937	31362	0	595	0	8328	0	235	0	367	2	491	0	228	0	857	1	1043		
133	4-Jun	8044457	8012272	32150	5	600	20	8348	1	236	0	367	0	491	4	232	2	859	3	1046		
134	5-Jun	8045544	8013007	32527	3	603	0	8348	0	236	0	367	1	492	3	235	0	859	3	1049		
135	6-Jun	8046369	8014337	32027	0	603	0	8348	0	236	0	367	0	492	0	235	2	861	3	1052		
136	7-Jun	8048624	8016966	31655	1	604	0	8348	0	236	0	367	0	492	1	236	0	861	1	1053		
137	8-Jun	8050602	8018051	32550	0	604	0	8348	0	236	0	367	0	492	0	236	1	862	0	1053		
138	9-Jun	8051637	8018239	33396	0	604	0	8348	0	236	1	368	0	492	0	236	0	862	1	1054		
139	10-Jun	8052720	8018186	34532	0	604	0	8348	0	236	1	369	0	492	0	236	0	862	1	1055		
140	11-Jun	8053661	8018752	34905	0	604	0	8348	0	236	0	369	0	492	0	236	0	862	4	1059		
141	12-Jun	8054892	8019447	35435	1	605	0	8348	2	238	0	369	1	493	0	236	1	863	5	1064		
142	13-Jun	8055946	8020364	35579	1	606	0	8348	0	238	0	369	0	493	0	236	1	864	1	1065		
143	14-Jun	8056765	8021879	34872	0	606	0	8348	7	245	0	369	1	494	0	236	0	864	6	1071		
144	15-Jun	8057839	8021303	36527	2	608	0	8348	3	248	0	369	1	495	2	238	1	865	0	1071		
145	16-Jun	8058655	8020519	38131	0	608	0	8348	2	250	0	369	1	496	0	238	0	865	2	1073		
146	17-Jun	8059598	8020388	39192	7	615	0	8348	0	250	0	369	1	497	7	245	1	866	2	1075		
147	18-Jun	8060036	8020241	39784	3	618	0	8348	2	252	0	369	1	498	3	248	1	867	1	1076		
148	19-Jun	8060628	8020233	40358	2	620	0	8348	23	275	0	369	7	505	2	250	1	868	2	1078		
149	20-Jun	8061566	8021544	40001	0	620	0	8348	14	289	0	369	2	507	0	250	1	869	4	1082		
